시군구,행정동,어린이집_가중치,학급당학생수_가중치,가중치_합산
송파구,방이1동,0.002096591,0.033995611,0.036092202000000004
송파구,방이2동,0.006280851,0.037752298,0.044033148999999994
도봉구,방학1동,0.004930958,0.035248906,0.040179864
도봉구,방학2동,0.007028571,0.031230051,0.038258622
도봉구,방학3동,0.004866906,0.032499152,0.037366058
강서구,방화1동,0.004751073,0.033701811,0.038452884
강서구,방화2동,0.004871287,0.03305628,0.037927567
강서구,방화3동,0.003897887,0.029413333,0.03331122
옹진군,백령면,0.005904,0.016472598,0.022376598
고양시 일산동구,백석1동,0.004139423,0.03820632,0.042345743000000005
고양시 일산동구,백석2동,0.004353982,0.042367405,0.046721386999999996
용인시 처인구,백암면,0.004032787,0.015689824,0.019722611
성남시 분당구,백현동,0.004508591,0.043850637,0.048359228
강북구,번1동,0.008318841,0.032268889,0.04058773
강북구,번2동,0.006373057,0.036336586,0.042709643
강북구,번3동,0.004006515,0.029183856,0.033190371
안양시 동안구,범계동,0.003582524,0.047860442,0.05144296600000001
부천시 소사구,범박동,0.003313663,0.045316754,0.048630417
남양주시,별내동,0.00394301,0.044231342,0.048174352000000004
남양주시,별내면,0.011340426,0.041972677,0.053313103
용산구,보광동,0.009225,0.03558461,0.04480961
용인시 기흥구,보라동,0.00559727,0.045316644,0.050913914000000005
관악구,보라매동,0.005788235,0.03179787,0.037586105
성북구,보문동,0.003187905,0.036383232,0.039571137
용인시 기흥구,보정동,0.00384,0.046937553,0.050777553
성남시 수정구,복정동,0.001545226,0.031154786,0.032700012
부평구,부개1동,0.00602449,0.0260727,0.03209719
부평구,부개2동,0.004432432,0.043951886,0.048384318
부평구,부개3동,0.008132231,0.042915188,0.051047419
안양시 동안구,부림동,0.004295956,0.046435688,0.050731644000000006
종로구,부암동,0.001629139,0.034658295,0.036287434
부평구,부평1동,0.003580786,0.045716633,0.049297419
부평구,부평2동,0.004161654,0.031822064,0.035983718
부평구,부평3동,0.002631016,0.036120469,0.038751485
부평구,부평4동,0.003612335,0.033393524,0.037005859
부평구,부평5동,0.002171227,0.038036726,0.040207953
